human	country
23	30
23	161885
42	145
76	30
80	145
91	30
157	142
181	30
181	145
185	30
186	30
192	145
206	16
207	30
255	12548
260	142
260	70972
272	142
296	142
297	29
301	29
301	4948
303	30
306	298
307	154849
320	298
326	39
326	298
329	142
331	298
335	298
346	142
352	7318
352	28513
352	41304
354	29999
360	408
360	736
368	298
377	2895
377	34266
379	213
379	33946
392	30
400	30
407	30
409	766
410	30
440	298
444	36
448	142
448	70972
449	142
464	154195
475	298
489	30
493	142
498	35
498	34266
498	70972
501	142
502	142
504	142
512	15180
517	142
529	142
530	34
535	142
539	165154
539	172579
555	30
557	30
558	142
559	70972
562	70972
563	142
567	183
567	16957
576	298
579	298
600	17
603	142
605	30
607	30
615	29
615	38
615	414
619	1649871
624	38
632	142
633	16
633	30
635	11768
636	145
640	183
651	183
675	142
687	70972
692	179876
714	30
742	70972
747	70972
755	142
765	38
765	172579
767	142
814	30
815	298
820	298
835	15180
835	34266
839	145
845	298
848	298
849	70972
853	159
853	15180
855	15180
855	34266
855	2305208
857	298
859	844930
862	30
862	15180
873	30
882	145
885	34266
885	207272
892	145
905	28513
905	33946
909	414
913	844930
920	29999
926	20
927	29999
930	15180
930	34266
935	161885
935	179876
937	30
937	39
937	28513
937	41304
937	43287
946	36
949	30
984	40
984	408
989	36
989	207272
991	34266
997	15180
997	2305208
1001	129286
1001	1775277
1023	39
1031	131964
1035	174193
1043	34
1047	668
1047	129286
1047	1775277
1048	1747689
1051	28513
1056	172579
1058	668
1064	165154
1064	172579
1081	145
1124	30
1145	70972
1149	668
1149	129286
1149	1775277
1151	142
1178	142
1189	766
1192	70972
1192	154849
1203	145
1217	43287
1220	38
1224	38
1224	172579
1225	30
1228	38
1228	172579
1230	38
1230	172579
1233	38
1233	172579
1235	38
1235	172579
1238	38
1238	172579
1240	38
1240	172579
1241	38
1241	172579
1242	38
1242	172579
1245	38
1245	172579
1253	884
1254	117
1257	79
1259	419
1260	40
1260	7318
1264	836
1267	34
1268	142
1268	34266
1271	20
1275	145
1275	174193
1276	16
1290	70972
1294	298
1298	298
1300	298
1316	796
1317	851
1318	298
1319	298
1320	298
1322	298
1323	298
1324	298
1325	40
1325	145
1326	298
1327	298
1328	298
1329	298
1330	298
1331	414
1332	298
1333	298
1339	12548
1340	4948
1381	30
1394	2184
1394	15180
1394	34266
1395	38
1398	1747689
1403	172579
1405	1747689
1407	1747689
1409	1747689
1411	1747689
1413	1747689
1414	1747689
1416	1747689
1417	1747689
1419	1747689
1421	1747689
1423	1747689
1424	1747689
1425	1747689
1426	39
1426	258
1427	1747689
1429	1747689
1430	1747689
1433	1747689
1434	1747689
1436	1747689
1440	1747689
1442	1747689
1446	1747689
1450	30
1453	218
1463	928
1464	928
1470	29999
1480	928
1488	142
1496	217196
1500	928
1503	928
1511	183
1512	174193
1514	30
1523	11768
1526	11768
1528	11768
1532	11768
1541	1747689
1544	142
1545	30
1585	183
1585	154195
1589	170174
1604	30
1615	30
1618	30
1625	34
1628	145
1631	142
1634	29999
1638	38
1638	172579
1639	1041
1646	142
1651	766
1652	30
1654	766
1655	769
1656	786
1657	754
1659	114
1660	963
1662	114
1665	262
1666	31
1668	30
1669	1028
1671	145
1672	115
1674	115
1677	114
1679	142
1681	114
1683	30
1685	30
1687	766
1690	30
1690	786
1691	1183
1698	142
1699	766
1702	1036
1704	114
1705	114
1708	148
1712	774
1716	142
1717	159
1728	408
1732	159
1736	30
1738	145
1739	846
1742	142
1743	183
1744	30
1744	145
1745	145
1747	408
1750	30
1750	1044
1751	30
1752	1747689
1753	38
1755	36
1758	183
1760	30
1762	1747689
1766	183
1766	16957
1768	30
1769	1747689
1771	794
1775	30
1776	191
1777	1747689
1778	28
1779	30
1782	1747689
1783	215
1783	83286
1784	17
1785	142
1785	399
1787	754
1788	142
1789	30
1790	145
1793	30
1796	241
1797	1747689
1802	142
1803	1747689
1804	142
1805	1747689
1812	1747689
1817	1747689
1830	1747689
1835	142
1835	262
1839	142
1868	31
1878	183
1879	142
1883	142
1885	29999
1894	29999
1907	142
1908	142
1909	142
1910	142
1911	142
1912	142
1912	262
1913	142
1915	142
1916	142
1917	142
1918	142
1919	142
1920	142
1921	142
1922	142
1923	142
1924	142
1925	142
1926	142
1927	142
1928	948
1929	142
1931	142
1933	34
1934	142
1935	142
1936	142
1937	142
1938	142
1939	142
1940	96
1940	142
1942	142
1943	142
1944	142
1945	40
1950	38
1955	38
1956	40
1958	39
1962	39
1984	39
1991	39
1993	17
2001	30
2006	38
2010	17
2022	38
2022	172579
2031	32
2031	40
2038	142
2039	1747689
2040	38
2040	172579
2042	142
2054	1747689
2069	414
2071	30
2072	40
2086	38
2086	172579
2097	20
2098	1747689
2104	145
2105	142
2116	183
2124	142
2125	408
2129	30
2147	668
2147	129286
2147	1775277
2153	129286
2161	1747689
2172	30
2185	142
2190	142
2196	142
2252	30
2253	1747689
2259	1747689
2263	30
2263	41
2274	30
2291	38
2291	172579
2307	1747689
2327	36
2327	159
2330	35
2339	29999
2492	183
2494	183
2496	183
2512	183
2514	20
2514	43287
2514	713750
2516	183
2516	7318
2516	41304
2516	713750
2518	183
2518	7318
2518	41304
2518	713750
2530	183
2538	183
2538	16957
2540	183
2542	183
2543	145
2551	183
2563	183
2566	174193
2567	183
2569	183
2570	30
2571	183
2573	183
2582	183
2593	145
2594	183
2597	30
2599	145
2601	183
2601	16957
2602	183
2604	38
2604	172579
2607	16957
2607	41304
2607	43287
2610	183
2610	16957
2628	16957
2632	145
2643	145
2646	183
2655	161885
2655	174193
2667	7318
2667	41304
2667	43287
2673	30
2677	27306
2677	43287
2680	30
2680	183
2685	30
2685	40
2709	30
2732	30
2737	142
2750	142
2754	28513
2754	33946
2757	36
2767	30
2767	161885
2767	174193
2791	30
2791	96
2808	145
2831	30
2866	184
2866	15180
2908	142
2972	174193
2998	145
2998	174193
3008	145
3034	30
3036	30
3048	142
3090	142
3095	218
3098	34
3099	6581823
3101	142
3102	161885
3112	30
3121	145
3128	145
3137	145
